Designator,Mid X,Mid Y,Rotation,Layer
D1,138.14,-77.75,90.0,top
D10,156.33,-111.76,90.0,top
D11,174.33,-111.76,90.0,top
D12,192.33,-111.76,90.0,top
D13,136.0,-138.61,180.0,top
D14,153.975,-138.55,180.0,top
D15,171.975,-138.625,180.0,top
D16,189.95,-138.62,180.0,top
D2,156.33,-77.76,90.0,top
D3,174.33,-77.76,90.0,top
D4,192.14,-77.75,90.0,top
D5,138.33,-94.76,90.0,top
D6,156.33,-94.76,90.0,top
D7,174.33,-94.76,90.0,top
D8,192.33,-94.76,90.0,top
D9,138.33,-111.76,90.0,top
DISPLAY1,139.59,-59.29,270.0,top
MT1,129.32,-77.89,0.0,top
MT2,183.32,-77.89,0.0,top
SW10,147.32,-111.89,180.0,top
SW11,165.32,-111.89,180.0,top
SW12,183.32,-111.89,180.0,top
SW13,129.32,-128.89,180.0,top
SW14,183.32,-128.89,180.0,top
SW15,147.32,-128.89,180.0,top
SW16,165.32,-128.89,180.0,top
SW2,147.32,-77.89,180.0,top
SW3,165.32,-77.89,180.0,top
SW5,129.32,-94.89,180.0,top
SW6,147.32,-94.89,180.0,top
SW7,165.32,-94.89,180.0,top
SW8,183.32,-94.89,180.0,top
SW9,129.32,-111.89,180.0,top
U1,106.18,-70.81,0.0,top
